iter	Passed	Remaining
0	180	360104
1	344	344131
2	451	300591
3	572	285592
4	685	273437
5	787	261641
6	890	253492
7	1008	251122
8	1112	246012
9	1239	246683
10	1346	243411
11	1465	242734
12	1601	244846
13	1760	249742
14	2112	279491
15	2473	306724
16	3015	351787
17	3247	357548
18	3499	364839
19	3754	371694
20	3978	374945
21	4137	371973
22	4260	366238
23	4369	359752
24	4471	353263
25	4603	349513
26	4743	346658
27	4857	342135
28	4959	337086
29	5082	333751
30	5184	329303
31	5304	326254
32	5418	322967
33	5552	321037
34	5738	322184
35	5873	320440
36	5999	318299
37	6114	315707
38	6232	313378
39	6346	310973
40	6468	309073
41	6595	307463
42	6712	305491
43	6828	303567
44	6946	301767
45	7073	300449
46	7180	298388
47	7281	296133
48	7383	293980
49	7505	292707
50	7655	292557
51	7781	291489
52	7923	291091
53	8057	290383
54	8180	289281
55	8307	288396
56	8424	287159
57	8537	285873
58	8638	284182
59	8755	283082
60	8859	281602
61	8956	279954
62	9082	279260
63	9198	278262
64	9313	277242
65	9427	276243
66	9537	275173
67	9663	274562
68	9777	273629
69	9899	272932
70	10018	272205
71	10126	271153
72	10243	270389
73	10363	269732
74	10468	268691
75	10590	268110
76	10708	267422
77	10808	266340
78	10922	265592
79	11040	264980
80	11171	264657
81	11273	263697
82	11382	262901
83	11504	262418
84	11623	261861
85	11764	261829
86	11900	261678
87	12023	261237
88	12157	261039
89	12293	260889
90	12422	260592
91	12540	260080
92	12666	259721
93	12791	259363
94	12971	260113
95	13109	260012
96	13223	259433
97	13568	263348
98	13715	263356
99	13854	263242
100	13976	262778
101	14120	262754
102	14222	261941
103	14341	261455
104	14448	260761
105	14620	261233
106	14843	262606
107	14979	262419
108	15108	262109
109	15221	261536
110	15334	260959
111	15455	260542
112	15571	260028
113	15672	259277
114	15783	258714
115	15890	258085
116	16002	257551
117	16106	256885
118	16225	256466
119	16353	256205
120	16464	255674
121	16574	255140
122	16684	254611
123	16797	254134
124	16902	253544
125	17024	253203
126	17137	252751
127	17241	252150
128	17346	251587
129	17457	251118
130	17574	250736
131	17673	250101
132	17814	250076
133	17927	249646
134	18033	249129
135	18151	248780
136	18251	248187
137	18350	247592
138	18453	247065
139	18563	246630
140	18677	246252
141	18783	245772
142	18895	245372
143	19026	245236
144	19141	244880
145	19246	244409
146	19350	243916
147	19463	243555
148	19567	243089
149	19681	242734
150	19793	242368
151	19893	241860
152	20012	241592
153	20127	241266
154	20230	240807
155	20347	240514
156	20461	240194
157	20587	240017
158	20714	239840
159	20818	239411
160	20917	238924
161	21035	238665
162	21153	238404
163	21269	238118
164	21386	237843
165	21489	237417
166	21609	237182
167	21723	236889
168	21848	236709
169	21958	236372
170	22061	235968
171	22156	235481
172	22245	234926
173	22356	234614
174	22473	234368
175	22607	234300
176	22767	234495
177	22947	234884
178	23064	234634
179	23160	234182
180	23283	233993
181	23393	233681
182	23512	233458
183	23626	233187
184	23760	233107
185	23872	232820
186	23982	232514
187	24095	232241
188	24206	231947
189	24326	231744
190	24434	231427
191	24547	231153
192	24681	231083
193	24802	230896
194	24916	230640
195	25029	230373
196	25124	229950
197	25228	229608
198	25329	229236
199	25441	228969
200	25612	229235
201	25730	229029
202	25873	229041
203	25997	228879
204	26124	228745
205	26231	228443
206	26353	228269
207	26475	228094
208	26571	227699
209	26685	227465
210	26813	227341
211	26914	226998
212	27033	226803
213	27147	226570
214	27257	226301
215	27359	225971
216	27473	225736
217	27589	225524
218	27687	225169
219	27810	225015
220	27920	224755
221	28035	224539
222	28135	224201
223	28255	224022
224	28362	223748
225	28458	223390
226	28564	223106
227	28676	222874
228	28790	222656
229	28909	222479
230	29043	222413
231	29149	222136
232	29262	221919
233	29372	221673
234	29484	221446
235	29600	221248
236	29712	221023
237	29820	220771
238	29934	220566
239	30048	220354
240	30164	220162
241	30281	219978
